Order_ID,Date,Product_Category,Price,Quantity,Customer_Rating,Review_Text,Return_Status,Region,Membership_Level
1001,2025-01-01,Electronics,299.99,1,4.5,Great battery life!,No,West,Gold
1002,2025-01-02,Home Office,45.00,2,3.0,It is okay but feels cheap.,No,North,Silver
1003,2025-01-02,Electronics,899.00,1,,Expensive but worth it,Yes,South,Platinum
1004,2025-01-03,Accessories,15.50,5,5.0,Perfect for my needs.,No,West,Silver
1005,2025-01-04,Electronics,,1,4.0,Solid performance.,No,East,Gold
1006,2025-01-05,Accessories,25.00,3,2.0,Broke after two days.,Yes,North,Bronze
1007,2025-01-06,Home Office,120.00,1,5.0,Best desk I have owned!,No,South,
1008,2025-01-07,Electronics,199.99,2,4.0,,No,West,Gold
1009,2025-01-08,Accessories,10.00,10,5.0,Cheap and cheerful.,No,East,Silver
1010,2025-01-09,Home Office,55.00,1,,Will buy again.,No,North,Bronze
